,Advertiser,Brand,Model,Version,Fuel,Year,Kilometers,Displacement_cm3,Power_hp,Segment,Color,Gear_Type,Number_of_Doors,Stand_Warranty_months,Condition,Photo,Price_EUR,Link,Compared_Price,Address,Urban_Consumption_l_by_100km
10,Professional,Peugeot,2008,,Diesel,2019,147000,1499,120,SUV / Off-road,Black,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1zN2w3c3F0anNzYzEtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.CZ9ezpgTbUilG01X37vYREtK5o9YOhG4x4AyzSeSxQc/image;s=0x269;f=webp,18500,https://www.standvirtual.com/carros/anuncio/peugeot-2008-ID8PvPTI.html,The price is within the average.,"Estrada Naciona 114 Junto as Bombas Intermarche - 2530 Atouguia da Baleia, concelho Peniche (Portugal)",
11,Professional,SEAT,Leon ST,,Gasoline,2017,130000,1000,115,Station Wagon,White,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ0bjc0NXk3bGtzaTMtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.5xNJXrHpsLDSLpsTRFysjoY5h1QMb4hzaHOTdM5VUtM/image;s=0x269;f=webp,15500,https://www.standvirtual.com/carros/anuncio/seat-leon-st-ID8PoItW.html,The price is within the average.,"Avenida 23 Julho de 1833, 145 - 2840-263 Seixal, Arrentela e Aldeia de Paio Pires, concelho Seixal (Portugal)",
12,Professional,BMW,i3,94Ah,Electric,2018,72665,,170,City Car,White,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InkwaGx5dHVtbjh4dy1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.2c6MhkY1DzV_nCEWlNg2gN9MUfSmhFcwMfgZcJeF_T4/image;s=0x269;f=webp,24490,https://www.standvirtual.com/carros/anuncio/bmw-i3-94ah-ID8Px0Tu.html,The price is within the average.,"Estrada de Paço de Arcos 52 - 2770-130 Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras (Portugal)",
13,Private,Peugeot,3008,1.2 PureTech GT Line EAT8,Gasoline,2020,79000,1199,130,SUV / Off-road,Gray,Automatic,5,,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFlcDhzcGQ4NDRqZzItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.4PQ4FMAZYewoo6BnIaWq6qVl8O_SZKgfPCfsqxmDgqE/image;s=0x269;f=webp,25990,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-gt-line-eat8-ID8PyjRI.html,The price is within the average.,Não disponível,6.1
14,Professional,Audi,A4 Avant,2.0 TDI Advance,Diesel,2017,129187,1968,150,Station Wagon,Gray,Manual,5,18,Used,Não disponível,21990,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PveFx.html,The price is below average.,"Edifício J.M.Póvoa, km 33 - 2580-347 Alenquer (Santo Estêvão e Triana), Alenquer (Portugal)",
15,Professional,Mercedes-Benz,E 220,D Avantgarde,Diesel,2021,22200,1950,194,Station Wagon,Black,Automatic,5,24,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InozMmE5ZzlkaGEzbjEtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.NQNZo-railKcc79FJQcj6vaSxZ5uVEuDChL9HS3cIq4/image;s=0x269;f=webp,56900,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-avantgarde-ID8PqLEI.html,The price is within the average.,"Rua de São Simão, 202 - 4750-854 Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro), Barcelos (Portugal)",5.8
16,Professional,Mercedes-Benz,EQA,250+ Progressive,Electric,2022,4207,,190,SUV / Off-road,White,Automatic,5,36,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRtaW9ucHE3dnF0ZjMtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.s059ux58OEpfMlodJ4RrR2OBc7U4fC-ouOnAV3ljyC0/image;s=0x269;f=webp,52500,https://www.standvirtual.com/carros/anuncio/mercedes-benz-eqa-250-progressive-ID8PydG6.html,The price is below average.,"EN 114 Bairro do Esmalte nº 14 - 2100-107 Coruche, Fajarda e Erra, concelho Coruche (Portugal)",
17,Professional,Cadillac,Escalade,,LPG,2007,52000,6200,410,Minivan,Black,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJwaDBnZmdsdTg1ZzItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.OZoUDu8I8fK3JX_g5NAOs-nIIAmHCtjgwKry4U7eOfY/image;s=0x269;f=webp,49900,https://www.standvirtual.com/carros/anuncio/cadillac-escalade-ID8PtL0r.html,Not available,"Travessa de Castelhães 119 - 4410-079 Vila Nova de Gaia, concelho Vila Nova de Gaia (Portugal)",
18,Professional,Toyota,Yaris,1.0 VVT-i Comfort,Gasoline,2018,89000,998,69,Utility,Gray,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtzMzljeDF1NW1uMi1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.VB_adPEFr6X_-x9dPMei8wvfW7kAIv_u0dt2R-iZBE8/image;s=0x269;f=webp,12500,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-ID8PuWJu.html,The price is within the average.,"RUA DOS DEZASSETE Nº 154 - 4520-603 São João de Ver, concelho Santa Maria da Feira (Portugal)",5.2
19,Professional,Peugeot,3008,1.5 BlueHDi Active Pack,Diesel,2022,18085,1499,130,SUV / Off-road,Gray,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk4aXc1aTdjYjN1Ni1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0._BMnz3YpACR78zSXaFi5jZ_cmMoxwtFb8buJt1l_d4k/image;s=0x269;f=webp,35750,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-active-pack-ID8PvV5k.html,The price is within the average.,"Ponte de São Sebastião - 6200-111 Caria, concelho Belmonte (Portugal)",
20,Professional,BMW,420 Gran Coupé,d Advantage Auto,Diesel,2018,112000,1995,190,Sedan,Black,Automatic,5,18,Used,Não disponível,27900,https://www.standvirtual.com/carros/anuncio/bmw-420-gran-coup-d-advantage-auto-ID8PyKlk.html,The price is below average.,"Rua Martins Sarmento Arqueólogo 7 - 4785-116 Covelas, Trofa (Portugal)",
21,Professional,SEAT,Leon,1.0 TSI Style,Gasoline,2020,46700,999,110,Utility,Black,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZjcG9xenFtNm82ai1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.k4zA4YgDPs9oLWk0kkGF-jNHaEefTOMH2QP7FftQYRU/image;s=0x269;f=webp,21800,https://www.standvirtual.com/carros/anuncio/seat-leon-1-0-tsi-style-ID8Ps3YZ.html,The price is within the average.,"EN 114 Bairro do Esmalte nº 14 - 2100-107 Coruche, Fajarda e Erra, concelho Coruche (Portugal)",
22,Professional,Porsche,718 Spyder,Standard,Gasoline,2019,19800,3995,420,Convertible,Silver,Manual,2,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im11d3kzaHk3d3BoODItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.6okdUTdz6nSE3lvT6NNaN2utLIz0_ifDjamsTNY22qM/image;s=0x269;f=webp,139718,https://www.standvirtual.com/carros/anuncio/porsche-718-spyder-standard-ID8Py2Fk.html,The price is within the average.,"Av. de França, 256 - 4050-276 Porto, concelho Porto (Portugal)",15.6
23,Professional,Mercedes-Benz,C 220,CDi Avantgarde,Diesel,2010,297592,2148,170,Station Wagon,Gray,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IngyM3V0eXZmcGdiMjItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.tdu4ql7Ef6sb44miObxJSiJk9q-823IK-Ven5Pj-3HM/image;s=0x269;f=webp,14990,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-ID8PxgGQ.html,The price is above average.,"Estrada nacional 125, Km 65, Sitio da Arrancada - 8200 Guia, concelho Albufeira (Portugal)",
24,Private,Citroën,C3,1.2 PureTech Feel,Gasoline,2020,39800,1199,83,Utility,Gray,Manual,5,,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndkZHZseTFyd3dycTMtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.lfOHeCIuus6TArvwyPYzH9flRxXteIzSRcSQf5dr0BI/image;s=0x269;f=webp,14000,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PtL2R.html,The price is below average.,Não disponível,5
25,Private,VW,Passat Variant,2.0 TDI BlueMotion Comfortline,Diesel,2015,113000,1968,150,Station Wagon,Gray,Manual,5,,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imhndnl6YTQ1a3RmbjItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.LQulH_ituZSyB81FisSyuSaviSNEbnsSoNWwkx1Ffm4/image;s=0x269;f=webp,16500,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-bluemotion-comfortline-ID8Pyils.html,The price is within the average.,Não disponível,4.9
26,Professional,Fiat,Panda,1.2 Lounge,Gasoline,2019,89750,1242,69,City Car,Black,Manual,5,24,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImphdnQyYW5sMDQ5YjItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.t5hSPKRXZmyRilNchOjl7AXxZSYtu0tTUC2t4QEm98c/image;s=0x269;f=webp,9450,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-ID8Pt3xH.html,The price is within the average.,"Rua das Indústrias 2653 - 4785-627 Bougado (São Martinho e Santiago), concelho Trofa (Portugal)",
27,Professional,VW,Taigo,1.0 TSI Life,Gasoline,2022,24583,999,95,SUV / Off-road,Silver,Manual,5,24,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjE1OTN3c2I2bjRzaDEtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.KBEakT-brPrK-NRO8pWdrJKIREVVyfITaBL-FddhD60/image;s=0x269;f=webp,23850,https://www.standvirtual.com/carros/anuncio/vw-taigo-1-0-tsi-life-ID8PyBNX.html,The price is within the average.,"Rua Olho Marinho, 912  ( EN. 109 ) - 3885-113 Ovar, São João, Arada e São Vicente de Pereira Jusã, concelho Ovar (Portugal)",
28,Professional,Peugeot,308,1.2 PureTech Allure Pack,Gasoline,2022,50000,1199,130,Utility,Gray,Manual,5,36,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZwaHY0Y3hleXY3ZDMtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.1zFnr_jeSZNTa6kGTWm82pY9R2dM5IS0Gxq94IJsiOM/image;s=0x269;f=webp,24950,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-puretech-allure-pack-ID8PxrZJ.html,The price is within the average.,"Estrada Nacional 4 - 2870- 736 Montijo e Afonsoeiro, concelho Montijo (Portugal)",
29,Professional,Ford,Fiesta,1.0 EcoBoost ST-Line,Gasoline,2020,7000,998,95,City Car,Gray,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9hZjBzNThxOGJ5aS1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.sZfJQyy3hvQn5du0hxjmp1wBSqe64YjxxedkWkL7tPY/image;s=0x269;f=webp,18500,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ecoboost-st-line-ID8Pz14g.html,The price is within the average.,"Av.  Amália Rodrigues Nº37  Rc D Urbanização Alto - 2650-437 Mina de Água, concelho Amadora (Portugal)",5
30,Professional,Opel,Insignia Sports Tourer,1.6 CDTi Executive S/S,Diesel,2016,142770,1598,136,Station Wagon,White,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR3MXhpaHg3MHp0NTItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.pOXk8dvS4dlyIVAaD7XvmBRGL2T2qxPTpOTlBJjkKVI/image;s=0x269;f=webp,14950,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-s-s-ID8PxeNZ.html,The price is within the average.,"IC2 Km 38 - Cheganças - 2580-381 A Alenquer, concelho Alenquer (Portugal)",
31,Professional,Hyundai,i20,1.2 Comfort,Gasoline,2022,29636,1197,84,Utility,White,Manual,5,36,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InczcG9zZ3N5cDAzMjItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.HI5em5qWkXEOLob8VdOzCbGCwPqjLDFMKRdkpwDEGvs/image;s=0x269;f=webp,18200,https://www.standvirtual.com/carros/anuncio/hyundai-i20-1-2-comfort-ID8Py8g6.html,The price is within the average.,"Rua da Casa Meada nº12 - 3040-584 Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra (Portugal)",
